target_id,pdb_id,chain_id,model,rank,output_pdb,success,return_code,inference_time_sec,inference_time_sec_per_prediction,prediction_count,trials_run,max_trials,successful_trial,command,error_message
7ROA_chainA,7ROA,A,chai1,3,data/predictions/7ROA_chainA/chai1/rank_003.pdb,true,0,159.919409,31.983882,5,1,5,1,bash runners/run_chai1.sh data/sequences/7ROA_chainA.fasta data/predictions/7ROA_chainA/chai1 5,
7ROA_chainA,7ROA,A,chai1,4,data/predictions/7ROA_chainA/chai1/rank_004.pdb,true,0,159.919409,31.983882,5,1,5,1,bash runners/run_chai1.sh data/sequences/7ROA_chainA.fasta data/predictions/7ROA_chainA/chai1 5,
7ROA_chainA,7ROA,A,chai1,5,data/predictions/7ROA_chainA/chai1/rank_005.pdb,true,0,159.919409,31.983882,5,1,5,1,bash runners/run_chai1.sh data/sequences/7ROA_chainA.fasta data/predictions/7ROA_chainA/chai1 5,
7ROA_chainA,7ROA,A,esmfold,1,data/predictions/7ROA_chainA/esmfold/rank_001.pdb,true,0,21.471297,21.471297,1,1,5,1,bash runners/run_esmfold.sh data/sequences/7ROA_chainA.fasta data/predictions/7ROA_chainA/esmfold 5,
7ROA_chainA,7ROA,A,omegafold,1,data/predictions/7ROA_chainA/omegafold/rank_001.pdb,true,0,22.772860,22.772860,1,1,5,1,bash runners/run_omegafold.sh data/sequences/7ROA_chainA.fasta data/predictions/7ROA_chainA/omegafold 5,
7QIH_chainA,7QIH,A,colabfold,1,data/predictions/7QIH_chainA/colabfold/rank_001.pdb,true,0,50.502158,10.100432,5,1,5,1,bash runners/run_colabfold.sh data/sequences/7QIH_chainA.fasta data/predictions/7QIH_chainA/colabfold 5,
7QIH_chainA,7QIH,A,colabfold,2,data/predictions/7QIH_chainA/colabfold/rank_002.pdb,true,0,50.502158,10.100432,5,1,5,1,bash runners/run_colabfold.sh data/sequences/7QIH_chainA.fasta data/predictions/7QIH_chainA/colabfold 5,
7QIH_chainA,7QIH,A,colabfold,3,data/predictions/7QIH_chainA/colabfold/rank_003.pdb,true,0,50.502158,10.100432,5,1,5,1,bash runners/run_colabfold.sh data/sequences/7QIH_chainA.fasta data/predictions/7QIH_chainA/colabfold 5,
7QIH_chainA,7QIH,A,colabfold,4,data/predictions/7QIH_chainA/colabfold/rank_004.pdb,true,0,50.502158,10.100432,5,1,5,1,bash runners/run_colabfold.sh data/sequences/7QIH_chainA.fasta data/predictions/7QIH_chainA/colabfold 5,
7QIH_chainA,7QIH,A,colabfold,5,data/predictions/7QIH_chainA/colabfold/rank_005.pdb,true,0,50.502158,10.100432,5,1,5,1,bash runners/run_colabfold.sh data/sequences/7QIH_chainA.fasta data/predictions/7QIH_chainA/colabfold 5,
