model,target_id,n_reps,mean_total_runtime_sec,std_total_runtime_sec,cv_total_runtime_sec,min_total_runtime_sec,max_total_runtime_sec,mean_inference_runtime_sec,std_inference_runtime_sec,cv_inference_runtime_sec,flagged_unstable
chai1,T1137s3,3,256.5178151000073,54.01994929744638,0.21058946442525212,224.93494904000545,318.89300979301333,256.5178151000073,54.01994929744638,0.21058946442525212,False
chai1,T1272s6,3,257.02133058093267,53.77698827889191,0.20923161574699825,225.8087893769989,319.11735728080384,257.02133058093267,53.77698827889191,0.20923161574699825,False
chai1,T1145,3,256.52770741164085,53.562832906004154,0.20879940590609883,224.9740497709863,318.37244356493466,256.52770741164085,53.562832906004154,0.20879940590609883,False
chai1,T1137s4,3,256.5101414859382,53.38264044892897,0.20811122764849974,224.9951151779969,318.145848140819,256.5101414859382,53.38264044892897,0.20811122764849974,False
chai1,T1114s3,3,257.1285929719331,53.447161486315906,0.2078616028990208,225.39643482599055,318.835719976807,257.1285929719331,53.447161486315906,0.2078616028990208,False
chai1,T1137s6,3,256.1876342590088,53.24412279632596,0.20783252458819113,224.74488812500203,317.66326285502873,256.1876342590088,53.24412279632596,0.20783252458819113,False
chai1,T1137s7,3,256.65058209597674,52.997195375793126,0.20649551987368708,225.42569366500535,317.84216051292606,256.65058209597674,52.997195375793126,0.20649551987368708,False
chai1,T1112,3,150.4265448916934,29.472732742074303,0.19592773844067596,133.30181949399412,184.4584935770836,150.4265448916934,29.472732742074303,0.19592773844067596,False
esmfold,T1129s2,3,116.6444228203424,22.685153561995268,0.1944812534838061,103.51499042300566,142.83895551902242,116.6444228203424,22.685153561995268,0.1944812534838061,False
chai1,T1157s2,3,149.962661788372,29.004923049734803,0.19341429862499163,133.21297579800012,183.4546617791057,149.962661788372,29.004923049734803,0.19341429862499163,False
chai1,T1212,3,149.66459597003026,28.620738900815663,0.19123252707371657,132.924040065991,182.7120300841052,149.66459597003026,28.620738900815663,0.19123252707371657,False
esmfold,T1137s7,3,123.55548893960076,23.426924160213773,0.18960650280511504,109.9921024840005,150.60653554880992,123.55548893960076,23.426924160213773,0.18960650280511504,False
chai1,T1137s1,3,149.8089891460016,28.10670899584795,0.18761697249325654,133.42469138601157,182.2633139539976,149.8089891460016,28.10670899584795,0.18761697249325654,False
chai1,T1227s1,3,149.80299873373346,28.037597696484177,0.18716312713018152,133.38405670899374,182.17691970220767,149.80299873373346,28.037597696484177,0.18716312713018152,False
esmfold,T1145,3,115.12721227403138,21.543554913140298,0.1871282600143334,102.66353603600146,140.0035492940806,115.12721227403138,21.543554913140298,0.1871282600143334,False
esmfold,T1272s6,3,111.30018922002152,20.706723068265873,0.18604391612787116,99.1685721160029,135.20937974005938,111.30018922002152,20.706723068265873,0.18604391612787116,False
chai1,T1137s5,3,149.3427322823069,27.130643483359034,0.18166698217408525,133.5901528300019,180.6703331929166,149.3427322823069,27.130643483359034,0.18166698217408525,False
chai1,T1114s2,3,112.02983237261166,20.130621418736645,0.17968982897146646,100.19340235399432,135.2733500348404,112.02983237261166,20.130621418736645,0.17968982897146646,False
chai1,T1134s2,3,111.65447661660194,20.05896314193737,0.17965211740515916,100.00070627700188,134.81641961680725,111.65447661660194,20.05896314193737,0.17965211740515916,False
esmfold,T1133,3,101.07487989129004,17.98176315763747,0.17790536260817283,90.61234954400425,121.83822156186216,101.07487989129004,17.98176315763747,0.17790536260817283,False
chai1,T1137s2,3,111.41966323268328,19.143437487576872,0.1718138157319563,100.34320225499688,133.52458343305625,111.41966323268328,19.143437487576872,0.1718138157319563,False
esmfold,T1114s3,3,89.27301870135732,15.277515254057866,0.17113250426946283,80.42191035799988,106.91393829206936,89.27301870135732,15.277515254057866,0.17113250426946283,False
chai1,T1185s1,3,111.04494740796508,19.002157913517838,0.17112131940327113,99.996347762004,132.98656551889144,111.04494740796508,19.002157913517838,0.17112131940327113,False
esmfold,T1137s4,3,91.26725862464566,15.585218345089666,0.17076461570065235,82.18286222199822,109.26324206893332,91.26725862464566,15.585218345089666,0.17076461570065235,False
chai1,T1185s4,3,111.00543959470087,18.855911289246666,0.16986475039505003,99.98902377099876,132.77785137109458,111.00543959470087,18.855911289246666,0.16986475039505003,False
chai1,T1272s4,3,110.91651443335043,18.740536355152145,0.1689607399844259,100.00303664601232,132.55595102603547,110.91651443335043,18.740536355152145,0.1689607399844259,False
